Year,Dominant_Topic,Number_of_Abstracts
2000,Topic_00,1
2000,Topic_01,6
2000,Topic_02,4
2000,Topic_03,4
2000,Topic_04,5
2000,Topic_05,11
2000,Topic_06,1
2000,Topic_07,3
2000,Topic_08,11
2000,Topic_09,2
2000,Topic_10,9
2000,Topic_11,4
2000,Topic_12,1
2000,Topic_13,18
2001,Topic_00,1
2001,Topic_01,4
2001,Topic_02,5
2001,Topic_03,4
2001,Topic_04,4
2001,Topic_05,19
2001,Topic_07,3
2001,Topic_08,13
2001,Topic_09,1
2001,Topic_10,8
2001,Topic_11,2
2001,Topic_12,5
2001,Topic_13,13
2002,Topic_00,5
2002,Topic_01,1
2002,Topic_02,3
2002,Topic_03,6
2002,Topic_04,11
2002,Topic_05,9
2002,Topic_07,1
2002,Topic_08,9
2002,Topic_09,6
2002,Topic_10,10
2002,Topic_11,2
2002,Topic_12,2
2002,Topic_13,17
2003,Topic_00,8
2003,Topic_01,9
2003,Topic_02,3
2003,Topic_03,3
2003,Topic_04,12
2003,Topic_05,21
2003,Topic_07,5
2003,Topic_08,7
2003,Topic_09,4
2003,Topic_10,16
2003,Topic_11,4
2003,Topic_12,3
2003,Topic_13,8
2004,Topic_00,4
2004,Topic_01,10
2004,Topic_02,2
2004,Topic_03,6
2004,Topic_04,9
2004,Topic_05,9
2004,Topic_07,3
2004,Topic_08,9
2004,Topic_09,12
2004,Topic_10,22
2004,Topic_11,4
2004,Topic_12,3
2004,Topic_13,13
2005,Topic_00,4
2005,Topic_01,7
2005,Topic_02,2
2005,Topic_03,7
2005,Topic_04,9
2005,Topic_05,13
2005,Topic_07,4
2005,Topic_08,8
2005,Topic_09,4
2005,Topic_10,21
2005,Topic_11,2
2005,Topic_12,2
2005,Topic_13,11
2006,Topic_00,7
2006,Topic_01,7
2006,Topic_02,9
2006,Topic_03,10
2006,Topic_04,11
2006,Topic_05,12
2006,Topic_06,3
2006,Topic_07,3
2006,Topic_08,11
2006,Topic_09,19
2006,Topic_10,18
2006,Topic_11,6
2006,Topic_12,4
2006,Topic_13,16
2007,Topic_00,8
2007,Topic_01,11
2007,Topic_02,5
2007,Topic_03,5
2007,Topic_04,57
2007,Topic_05,13
2007,Topic_06,4
2007,Topic_07,4
2007,Topic_08,10
2007,Topic_09,10
2007,Topic_10,12
2007,Topic_11,7
2007,Topic_12,12
2007,Topic_13,10
2008,Topic_00,6
2008,Topic_01,16
2008,Topic_02,3
2008,Topic_03,10
2008,Topic_04,14
2008,Topic_05,13
2008,Topic_06,5
2008,Topic_07,7
2008,Topic_08,18
2008,Topic_09,13
2008,Topic_10,23
2008,Topic_11,20
2008,Topic_12,12
2008,Topic_13,8
2009,Topic_00,11
2009,Topic_01,11
2009,Topic_02,8
2009,Topic_03,7
2009,Topic_04,19
2009,Topic_05,9
2009,Topic_06,5
2009,Topic_07,2
2009,Topic_08,11
2009,Topic_09,7
2009,Topic_10,18
2009,Topic_11,4
2009,Topic_12,12
2009,Topic_13,5
2010,Topic_00,7
2010,Topic_01,19
2010,Topic_02,11
2010,Topic_03,11
2010,Topic_04,16
2010,Topic_05,16
2010,Topic_06,17
2010,Topic_07,5
2010,Topic_08,17
2010,Topic_09,17
2010,Topic_10,22
2010,Topic_11,12
2010,Topic_12,4
2010,Topic_13,9
2011,Topic_00,19
2011,Topic_01,22
2011,Topic_02,10
2011,Topic_03,11
2011,Topic_04,17
2011,Topic_05,19
2011,Topic_06,23
2011,Topic_07,6
2011,Topic_08,14
2011,Topic_09,20
2011,Topic_10,17
2011,Topic_11,7
2011,Topic_12,16
2011,Topic_13,9
2012,Topic_00,24
2012,Topic_01,25
2012,Topic_02,30
2012,Topic_03,18
2012,Topic_04,13
2012,Topic_05,14
2012,Topic_06,31
2012,Topic_07,11
2012,Topic_08,18
2012,Topic_09,26
2012,Topic_10,31
2012,Topic_11,26
2012,Topic_12,34
2012,Topic_13,17
2013,Topic_00,21
2013,Topic_01,27
2013,Topic_02,24
2013,Topic_03,9
2013,Topic_04,15
2013,Topic_05,24
2013,Topic_06,28
2013,Topic_07,8
2013,Topic_08,20
2013,Topic_09,38
2013,Topic_10,34
2013,Topic_11,28
2013,Topic_12,18
2013,Topic_13,18
2014,Topic_00,36
2014,Topic_01,32
2014,Topic_02,47
2014,Topic_03,20
2014,Topic_04,32
2014,Topic_05,19
2014,Topic_06,37
2014,Topic_07,18
2014,Topic_08,29
2014,Topic_09,37
2014,Topic_10,28
2014,Topic_11,22
2014,Topic_12,20
2014,Topic_13,17
2015,Topic_00,26
2015,Topic_01,39
2015,Topic_02,20
2015,Topic_03,11
2015,Topic_04,37
2015,Topic_05,37
2015,Topic_06,42
2015,Topic_07,12
2015,Topic_08,38
2015,Topic_09,24
2015,Topic_10,21
2015,Topic_11,22
2015,Topic_12,28
2015,Topic_13,13
2016,Topic_00,36
2016,Topic_01,30
2016,Topic_02,32
2016,Topic_03,19
2016,Topic_04,24
2016,Topic_05,24
2016,Topic_06,26
2016,Topic_07,14
2016,Topic_08,31
2016,Topic_09,22
2016,Topic_10,21
2016,Topic_11,28
2016,Topic_12,17
2016,Topic_13,19
2017,Topic_00,42
2017,Topic_01,47
2017,Topic_02,44
2017,Topic_03,39
2017,Topic_04,41
2017,Topic_05,18
2017,Topic_06,36
2017,Topic_07,27
2017,Topic_08,41
2017,Topic_09,32
2017,Topic_10,37
2017,Topic_11,39
2017,Topic_12,20
2017,Topic_13,25
2018,Topic_00,36
2018,Topic_01,34
2018,Topic_02,67
2018,Topic_03,69
2018,Topic_04,23
2018,Topic_05,18
2018,Topic_06,34
2018,Topic_07,21
2018,Topic_08,43
2018,Topic_09,27
2018,Topic_10,28
2018,Topic_11,35
2018,Topic_12,18
2018,Topic_13,26
2019,Topic_00,46
2019,Topic_01,62
2019,Topic_02,63
2019,Topic_03,57
2019,Topic_04,30
2019,Topic_05,21
2019,Topic_06,37
2019,Topic_07,42
2019,Topic_08,55
2019,Topic_09,43
2019,Topic_10,36
2019,Topic_11,36
2019,Topic_12,36
2019,Topic_13,37
2020,Topic_00,57
2020,Topic_01,62
2020,Topic_02,49
2020,Topic_03,59
2020,Topic_04,30
2020,Topic_05,16
2020,Topic_06,36
2020,Topic_07,52
2020,Topic_08,50
2020,Topic_09,35
2020,Topic_10,45
2020,Topic_11,35
2020,Topic_12,25
2020,Topic_13,30
