Number of topics,Random variable,Coherence score
10.0,1.0,0.43555948038026593
10.0,2.0,0.4602207336836958
10.0,3.0,0.47262616678776376
10.0,4.0,0.45687951073639477
10.0,5.0,0.45425422663258264
10.0,6.0,0.4651870235590444
10.0,7.0,0.4717738069116441
10.0,8.0,0.45191760773131034
10.0,9.0,0.4708935690331284
10.0,10.0,0.4287226350641678
11.0,1.0,0.43617929822778884
11.0,2.0,0.4655757056765676
11.0,3.0,0.4627710797589551
11.0,4.0,0.4665403422224727
11.0,5.0,0.4503655678363053
11.0,6.0,0.46419499095583916
11.0,7.0,0.45724276733469327
11.0,8.0,0.457692401411032
11.0,9.0,0.4651346151753291
11.0,10.0,0.44718676650972883
12.0,1.0,0.4465786299032745
12.0,2.0,0.44706683687435245
12.0,3.0,0.45374280378020554
12.0,4.0,0.4411174679894065
12.0,5.0,0.45155108069921207
12.0,6.0,0.46826369284394304
12.0,7.0,0.4476012315322127
12.0,8.0,0.44152241116412677
12.0,9.0,0.4630203093784953
12.0,10.0,0.4320932328784269
13.0,1.0,0.4546427160232363
13.0,2.0,0.46525147744437617
13.0,3.0,0.4502018534914915
13.0,4.0,0.4913226830455449
13.0,5.0,0.45446301930269856
13.0,6.0,0.4396893040464644
13.0,7.0,0.4570553800144515
13.0,8.0,0.47445405968784926
13.0,9.0,0.47359528494769837
13.0,10.0,0.4821824818911464
14.0,1.0,0.4446556359226682
14.0,2.0,0.4408315125387397
14.0,3.0,0.46912893799926136
14.0,4.0,0.4972044502388814
14.0,5.0,0.4639763697607874
14.0,6.0,0.46089599212288324
14.0,7.0,0.47077580994784146
14.0,8.0,0.474313754192731
14.0,9.0,0.46888085787842193
14.0,10.0,0.47359162767275115
15.0,1.0,0.4765845001268509
15.0,2.0,0.48595584715495405
15.0,3.0,0.4633194285398726
15.0,4.0,0.4639053010306643
15.0,5.0,0.4587308213648182
15.0,6.0,0.45361609651316304
15.0,7.0,0.4810481916949908
15.0,8.0,0.4471326366028742
15.0,9.0,0.4426368889199153
15.0,10.0,0.4405980688098348
16.0,1.0,0.46879352626060905
16.0,2.0,0.45158182880012376
16.0,3.0,0.4609727016993512
16.0,4.0,0.46595575747873774
16.0,5.0,0.4679749383349461
16.0,6.0,0.4632868712081792
16.0,7.0,0.4629082943860869
16.0,8.0,0.42851217775690054
16.0,9.0,0.47801541143169457
16.0,10.0,0.4543537960024596
17.0,1.0,0.4464849328970814
17.0,2.0,0.4566187139306132
17.0,3.0,0.47298049565854705
17.0,4.0,0.457897029571285
17.0,5.0,0.4614563545398005
17.0,6.0,0.4589461675167128
17.0,7.0,0.47526918725711426
17.0,8.0,0.47550537893921585
17.0,9.0,0.4658735721442624
17.0,10.0,0.4836638887464639
18.0,1.0,0.46812813166225925
18.0,2.0,0.45113384811068147
18.0,3.0,0.446527993093547
18.0,4.0,0.46305870072918637
18.0,5.0,0.4709584639547652
18.0,6.0,0.46967497560626725
18.0,7.0,0.4781629954954148
18.0,8.0,0.4723939728907704
18.0,9.0,0.4579815025141113
18.0,10.0,0.4598706260310107
19.0,1.0,0.4571809929517905
