Number of topics,Random variable,Coherence score
2.0,4.0,0.33245401307370975
6.0,4.0,0.45290606522444293
10.0,4.0,0.45687951073639477
14.0,4.0,0.4972044502388814
18.0,4.0,0.46305870072918637
22.0,4.0,0.44701270321044734
26.0,4.0,0.46603437456958974
30.0,4.0,0.4434469590672661
34.0,4.0,0.438426071079072
38.0,4.0,0.44336473459007975
42.0,4.0,0.4392790853863096
46.0,4.0,0.42410609135738675
50.0,4.0,0.4380325027612891
54.0,4.0,0.41862237656024526
58.0,4.0,0.4312498585338452
62.0,4.0,0.4261738215772045
66.0,4.0,0.4274745753427075
70.0,4.0,0.41871224061975204
74.0,4.0,0.4042141547305698
78.0,4.0,0.4123957577948921
82.0,4.0,0.41749221207216053
86.0,4.0,0.4080826494782624
90.0,4.0,0.392260506667788
94.0,4.0,0.41178384603407914
98.0,4.0,0.3927254390574449
